,DJI
11/6/1974,852.080017
12/6/1974,848.559998
13/6/1974,852.080017
14/6/1974,843.090027
17/6/1974,833.22998
18/6/1974,830.26001
19/6/1974,826.109985
20/6/1974,820.789978
21/6/1974,815.390015
24/6/1974,816.330017
25/6/1974,828.849976
26/6/1974,816.960022
27/6/1974,803.659973
28/6/1974,802.409973
1/7/1974,806.23999
2/7/1974,790.679993
3/7/1974,792.869995
5/7/1974,791.77002
8/7/1974,770.570007
9/7/1974,772.289978
10/7/1974,762.119995
11/7/1974,759.619995
12/7/1974,787.22998
15/7/1974,786.609985
16/7/1974,775.969971
17/7/1974,784.969971
18/7/1974,789.190002
19/7/1974,787.940002
22/7/1974,790.359985
23/7/1974,797.719971
24/7/1974,805.77002
25/7/1974,795.679993
26/7/1974,784.570007
29/7/1974,770.890015
30/7/1974,765.570007
31/7/1974,757.429993
1/8/1974,751.099976
2/8/1974,752.580017
5/8/1974,760.400024
6/8/1974,773.780029
7/8/1974,797.559998
8/8/1974,784.890015
9/8/1974,777.299988
12/8/1974,767.289978
13/8/1974,756.440002
14/8/1974,740.539978
